"stanox","tiploc"
"00000","BRAY"
63635,"BRBCNLT"
23401,"BRBDNRG"
66306,"BRBG"
66305,"BRBGES"
66307,"BRBGLP"
32232,"BRBM"
72415,"BRBY"
72414,"BRBYPK"
87602,"BRCKLAJ"
26305,"BRCLEJN"
75363,"BRDFDJN"
82075,"BRDFDOA"
81926,"BRDG80"
81925,"BRDGCRL"
81918,"BRDGDUN"
81923,"BRDGUGF"
81924,"BRDGWTR"
81921,"BRDGWUY"
"07453","BRDHRST"
"07454","BRDHSTD"
"07453","BRDHSTU"
86295,"BRDING"
19009,"BRDLCAR"
19007,"BRDLNGT"
13311,"BRDNML"
66412,"BRDS"
66413,"BRDS732"
66324,"BRDSLYJ"
66419,"BRDSLYL"
66416,"BRDSLYY"
66417,"BRDSMAT"
66405,"BRDSULP"
43040,"BRDWJN"
57225,"BREADSL"
32065,"BREDBRY"
32326,"BREDFHH"
32325,"BREDRTS"
32333,"BREDTCN"
"04088","BREICH"
63303,"BRENTCJ"
31337,"BREWRYS"
76376,"BRFLD"
"03041","BRFRY"
19213,"BRFT"
"00779","BRGBRSE"
"07297","BRGDDIE"
79705,"BRGE462"
79792,"BRGE602"
79794,"BRGE65"
79797,"BRGEDFS"
79796,"BRGEFGF"
79800,"BRGEFRS"
79791,"BRGEND"
26001,"BRGG"
87978,"BRGH257"
"00000","BRGH277"
88095,"BRGH280"
87977,"BRGHBAL"
"00000","BRGHBUS"
87983,"BRGHLHS"
88141,"BRGHLRD"
87981,"BRGHMHS"
87976,"BRGHRC"
87980,"BRGHTN"
87981,"BRGHTTY"
87984,"BRGHWS"
25155,"BRGLJN"
"07224","BRHD"
27222,"BRHLFF"
27221,"BRHLFHH"
27223,"BRHLFLH"
27217,"BRHLJN"
27213,"BRHLLFL"
27212,"BRHLLIP"
27220,"BRHLRS"
27219,"BRHLSJN"
86451,"BRHM"
86454,"BRHM115"
86453,"BRHM122"
86452,"BRHMDS"
86450,"BRHMUS"
18455,"BRHOUSE"
"07274","BRIDGBR"
"07269","BRIDGTN"
"07271","BRIDGYD"
"07270","BRIDYCW"
29036,"BRIERFL"
34233,"BRIGEWS"
34231,"BRIGICI"
34232,"BRIGSSC"
51914,"BRIMSDN"
69025,"BRINKLW"
65726,"BRIRADV"
65730,"BRIRLYF"
65729,"BRIRLYH"
79605,"BRITFEE"
79600,"BRITFRY"
78349,"BRITHDR"
79603,"BRITONF"
79601,"BRITUFJ"
"00000","BRIXJN"
87248,"BRIXTON"
68144,"BRKELEY"
"00000","BRKLNDS"
53995,"BRKMNPK"
38152,"BRKN564"
38151,"BRKN570"
38014,"BRKN574"
38014,"BRKN577"
38017,"BRKN601"
38197,"BRKN717"
38200,"BRKN718"
38199,"BRKNCDS"
38157,"BRKNCPK"
38101,"BRKNCVS"
38131,"BRKNDKS"
